,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,sh,sot,dist,fk,pk,pkatt,season,team,target,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
0,2021-09-11,15:00,Matchweek 4,Sat,Home,W,1.0,0.0,Norwich City,3.2,0.8,51.0,58000.0,Pierre-Emerick Aubameyang,4-2-3-1,Michael Oliver,Match Report,30.0,6.0,16.9,1.0,0.0,0.0,2021,Arsenal,1,1,16,15,5,0.0,3.0,9.666666666666666,2.3333333333333335,14.833333333333334,0.3333333333333333,0.0,0.0
1,2021-09-18,15:00,Matchweek 5,Sat,Away,W,1.0,0.0,Burnley,1.0,1.3,54.0,20000.0,Pierre-Emerick Aubameyang,4-1-4-1,Anthony Taylor,Match Report,13.0,3.0,20.7,1.0,0.0,0.0,2021,Arsenal,1,0,5,15,5,0.3333333333333333,2.3333333333333335,12.333333333333334,3.0,14.133333333333333,0.3333333333333333,0.0,0.0
2,2021-09-26,16:30,Matchweek 6,Sun,Home,W,3.0,1.0,Tottenham,1.1,1.0,46.0,59919.0,Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,12.0,7.0,17.7,0.0,0.0,0.0,2021,Arsenal,1,1,19,16,6,0.6666666666666666,1.6666666666666667,14.666666666666666,3.0,14.799999999999999,0.6666666666666666,0.0,0.0
3,2021-10-02,17:30,Matchweek 7,Sat,Away,D,0.0,0.0,Brighton,0.6,1.6,42.0,31266.0,Pierre-Emerick Aubameyang,4-2-3-1,Jonathan Moss,Match Report,8.0,2.0,21.1,1.0,0.0,0.0,2021,Arsenal,0,0,4,17,5,1.6666666666666667,0.3333333333333333,18.333333333333332,5.333333333333333,18.433333333333334,0.6666666666666666,0.0,0.0
4,2021-10-18,20:00,Matchweek 8,Mon,Home,D,2.0,2.0,Crystal Palace,1.9,0.9,54.0,59475.0,Pierre-Emerick Aubameyang,4-1-4-1,Mike Dean,Match Report,17.0,6.0,17.6,1.0,0.0,0.0,2021,Arsenal,0,1,7,20,0,1.3333333333333333,0.3333333333333333,11.0,4.0,19.833333333333332,0.6666666666666666,0.0,0.0
5,2021-10-22,20:00,Matchweek 9,Fri,Home,W,3.0,1.0,Aston Villa,3.1,1.4,53.0,59496.0,Pierre-Emerick Aubameyang,4-2-3-1,Craig Pawson,Match Report,21.0,8.0,17.3,1.0,0.0,1.0,2021,Arsenal,1,1,1,20,4,1.6666666666666667,1.0,12.333333333333334,5.0,18.8,0.6666666666666666,0.0,0.0
6,2021-10-30,12:30,Matchweek 10,Sat,Away,W,2.0,0.0,Leicester City,0.9,1.4,36.0,32209.0,Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,9.0,5.0,16.7,0.0,0.0,0.0,2021,Arsenal,1,0,11,12,5,1.6666666666666667,1.0,15.333333333333334,5.333333333333333,18.666666666666668,1.0,0.0,0.3333333333333333
7,2021-11-07,14:00,Matchweek 11,Sun,Home,W,1.0,0.0,Watford,1.9,0.9,60.0,59833.0,Pierre-Emerick Aubameyang,4-4-1-1,Kevin Friend,Match Report,13.0,5.0,21.1,1.0,0.0,1.0,2021,Arsenal,1,1,20,14,6,2.3333333333333335,1.0,15.666666666666666,6.333333333333333,17.200000000000003,0.6666666666666666,0.0,0.3333333333333333
8,2021-11-20,17:30,Matchweek 12,Sat,Away,L,0.0,4.0,Liverpool,0.6,3.8,38.0,53092.0,Pierre-Emerick Aubameyang,4-4-1-1,Michael Oliver,Match Report,5.0,3.0,19.9,0.0,0.0,0.0,2021,Arsenal,0,0,12,17,5,2.0,0.3333333333333333,14.333333333333334,6.0,18.366666666666664,0.6666666666666666,0.0,0.6666666666666666
9,2021-11-27,12:30,Matchweek 13,Sat,Home,W,2.0,0.0,Newcastle Utd,2.8,0.4,66.0,59886.0,Pierre-Emerick Aubameyang,4-4-1-1,Stuart Attwell,Match Report,24.0,6.0,17.8,1.0,0.0,0.0,2021,Arsenal,1,1,15,12,5,1.0,1.3333333333333333,9.0,4.333333333333333,19.233333333333334,0.3333333333333333,0.0,0.3333333333333333
